Event,Time,SfcId,Result,Resource,Vnffgs,Solution,Reason
-,206.40487056612943,76,False,"[np.int64(16115), np.int64(23999857), np.int64(1074588)]","[88, 89, 92, 94, 96]",,
+,208.0,99,False,"[np.int64(16115), np.int64(23999857), np.int64(1074588)]","[88, 89, 92, 94, 96]",,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,209.71201390024999,79,False,"[np.int64(16115), np.int64(23999857), np.int64(1074588)]","[88, 89, 92, 94, 96]",,
t,210.0,88,False,"[np.int64(16138), np.int64(23999877), np.int64(1096846)]","[89, 92, 94, 96]",,SOLUTION_TYPE.CHANGE_FAILED_FOR_LINK_BAND
t,210.0,89,True,"[np.int64(16138), np.int64(23999877), np.int64(1097021)]","[89, 92, 94, 96]","dict_values([23, 22, 0, 47, 42, 2, 39, 39])",
t,210.0,94,True,"[np.int64(16138), np.int64(23999877), np.int64(1095631)]","[89, 92, 94, 96]","dict_values([13, 7, 44, 39, 6])",
t,210.0,96,False,"[np.int64(16173), np.int64(23999906), np.int64(1096383)]","[89, 92, 94]",,SOLUTION_TYPE.CHANGE_FAILED_FOR_LINK_BAND
-,210.3209098523247,74,False,"[np.int64(16173), np.int64(23999906), np.int64(1096383)]","[89, 92, 94]",,
-,211.73027586557058,81,False,"[np.int64(16173), np.int64(23999906), np.int64(1096383)]","[89, 92, 94]",,
+,213.0,100,False,"[np.int64(16173), np.int64(23999906), np.int64(1096383)]","[89, 92, 94]",,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,213.0,101,False,"[np.int64(16173), np.int64(23999906), np.int64(1096383)]","[89, 92, 94]",,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,215.9771758543455,91,False,"[np.int64(16173), np.int64(23999906), np.int64(1096383)]","[89, 92, 94]",,
-,216.37339894349168,88,False,"[np.int64(16173), np.int64(23999906), np.int64(1096383)]","[89, 92, 94]",,
+,219.0,102,True,"[np.int64(16151), np.int64(23999875), np.int64(1095217)]","[89, 92, 94, 102]","dict_values([5, 17, 9, 34, 37])",
+,219.0,103,False,"[np.int64(16151), np.int64(23999875), np.int64(1095217)]","[89, 92, 94, 102]",,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,219.0,104,False,"[np.int64(16151), np.int64(23999875), np.int64(1095217)]","[89, 92, 94, 102]",,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,219.26175928291735,90,False,"[np.int64(16151), np.int64(23999875), np.int64(1095217)]","[89, 92, 94, 102]",,
-,219.31604154340113,82,False,"[np.int64(16151), np.int64(23999875), np.int64(1095217)]","[89, 92, 94, 102]",,
-,219.64984642445182,100,False,"[np.int64(16151), np.int64(23999875), np.int64(1095217)]","[89, 92, 94, 102]",,
